clean_name,Main Headquaters,Campaign,Description,Involvement,Sub-Category,Big-Category
Brand Industries,Israel,UN_Report,Manufacturing,Use of natural resources,Manufacturing,Manufacturing & Industrial
Briefcam,Israel,whoprofits.org,"A private Israeli provider of video synopsis solutions for law enforcement agencies, governments and companies.

The company&rsq",Private Security and Surveillance Technology,"Hi-tech, Military, Security and Surveillance",Technology & Hi-tech
Burger King,"USA, United States","bdsmovement.net, ethicalconsumer.org","Burger King franchisees in Israel have openly supported apartheid Israel and/or provided generous in-kind donations to the Israeli military., A fast food restaurant chain.","Fast Food, Military Support, Targeted by grassroots boycott campaigns for supporting apartheid Israel and providing donations to the Israeli military.","Fast Food, Fast Food Chains",Other
Burger Ranch (Orgad Hsn),Israel,whoprofits.org,"An Israeli fast-food chain.

The company operates branches in the settlements of Maale Adumim and Ariel in the West Bank, a bran",Services to the Settlements,"Food Industry, Service Industry and Retail",Agriculture & Food
C Mer Industries,"Israel, Israel, Israel","afsc.org-Divestment, whoprofits.org, UN_Report","An Israeli outsourcing company for secure communications systems. Its systems are installed at military bases and checkpoints in the occupied West Bank and in weapons systems used by the Israeli military, An integrator in the areas of communications and security. The Group offers a wide range of technology-based solutions and end-to-, Telecommunications and infrastructure solutions","Occupations, Private Security and Surveillance Technology, Specialized Equipment and Services, The Wall and Checkpoints, Supply of surveillance and identification equipment for settlements, the wall and checkpoints directly linked with settlements","Communications, Communication, Military, Security and Surveillance, Telecommunications",Services & Miscellaneous
Cadre Holdings,USA,afsc.org-Divestment,"The owner of Safariland and Defense Technology, the largest US manufacturer of tear gas weapons for law enforcement. Its chemical and other crowd-control weapons are used by US border patrol, prison authorities, and police departments across the US and around the world against civilian protesters","Borders, Occupations, Prisons",Defense,Defense & Security
Caf- Nstrucciones Y Auxiliar De Ferrocarriles,"Spain, Spain","bdsmovement.net, whoprofits.org","CAF builds the Jerusalem Light Rail., A publicly-traded Spanish company specializing in designing and implementing transit systems, and manufacturing railway vehicles, ","Transportation, Settlement Support, Israeli Construction on Occupied Land, Services to the Settlements","Transportation, Transportation",Transportation & Travel
Caf√£¬© Caf√£¬© Israel,Israel,UN_Report,Caf√© chain,Services and utilities supporting the maintenance and existence of settlements; Use of natural resources,Food and Beverage,Other
Cafe Cafe,Israel,whoprofits.org,"A chain of Caf&eacute;- restaurants

The company operates branches in the following settlements in the West Bank: Almog, Jordan ",Services to the Settlements,"Food Industry, Service Industry and Retail",Agriculture & Food
Caliber 3,"Israel, Occupied Palestinian Territory","UN_Report, whoprofits.org","Security training, Run by military members of the Israeli army, the company offers security solutions, high threat protection, intelligence operation","Security services, equipment and materials to enterprises operating in settlements; Use of natural resources, Israeli Construction on Occupied Land, Private Security and Surveillance Technology","Security, Military, Security and Surveillance, Tourism",Other
Carmel Industries (Il),"Israel, Occupied Palestinian Territory",whoprofits.org,"A private Israeli company that manufactures and markets carpets for domestic and international export. Part of the Carmel Group.
",Settlement Production,Industrial Manufacturing,Manufacturing & Industrial
Carmel Wineries,Israel,whoprofits.org,"One of the largest wineries in the Israeli market.

Carmel Winery sources from vineyards located in the occupied Syrian Golan in",Settlement Production,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Carrefour,"France, France, Israel","bdsmovement.net, boycott-israel.org, DBIO_Listed_Business","Carrefour-Israel supports Israeli soldiers., On March 8, 2022, the Carrefour Group unveiled a franchise agreement in Israel, partnering with Electra Consumer Products and its subsidiary, Yenot Bitan. These entities are engaged in activities within the contentious Israeli settlements. This makes Carrefour complicit in war crimes committed by the Israeli regime of occupation, settler-colonialism and apartheid., French retailer","Retail, Military Support, Franchise agreement in contentious settlements, Underwriting, Bondholdings, Shareholdings","Retail, Food and Beverages, Retail",Consumer Goods & Retail
Carrefour Sub-Brand,France,boycott-israel.org,"Promocash is a sub-brand of Carrefour that operates cash and carry stores for professionals, including food and non-food products.",Promocash,Food and Beverages,Agriculture & Food
Caterpillar (Cat),"USA, United States, Israel, USA, USA, USA","afsc.org-profiting, boycott-israel.org, DBIO_Listed_Business, bdsmovement.net, afsc.org-Divestment, whoprofits.org","Caterpillar is an American corporation that designs, manufactures, markets, and sells machinery and engines., Caterpillar manufactures products, including heavy machinery, industrial and gardening tools, as well as footwear and cloathing. Caterpillar's D9 bulldozers (nicknamed Teddy Bear in Israel) have been deployed in the dismantling of homes in Palestinian territories. This model was tailor-made to meet the specifications of the Israel Defense Forces., U.S. heavy machinery manufacturer, Caterpillar machinery is used in the destruction of Palestinian homes., A US-based multinational manufacturer of construction machinery and equipment. Its products are weaponized for the Israeli military and are used in home demolitions; in the construction of illegal settlement infrastructure, border walls, and military checkpoints; and in military assaults against Palestinians, Caterpillar Inc., also known as CAT, is a&nbsp;U.S.-based multinational manufacturer and provider of civil and military engineerin","Provides construction equipment used in demolitions in Palestinian territories, Manufactures products used for house demolitions, Loans, Underwriting, Bondholdings, Shareholdings, Construction, Demolition, Occupations, Israeli Construction on Occupied Land, Specialized Equipment and Services, The Wall and Checkpoints","Machinery, Others, Heavy Machinery, Construction, Construction, Heavy Machinery",Manufacturing & Industrial
Ceia Struzioni Elettroniche Industriali Automatismi,Italy,whoprofits.org,A manufacturer of metal detectors and electromagnetic inspection systems. The company also provides training programs and equipmen,"Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Cellm Israel,"Israel, Israel, Israel, Israel","DBIO_Listed_Business, whoprofits.org, afsc.org-Divestment, UN_Report","Israeli telecommunications company, Cellcom is a public Israeli telecommunication company traded on the Tel Aviv Stock Exchange under the ticker symbol CEL.

As of , The largest Israeli cellular communications provider. It operates hundreds of antennas that serve illegal Israeli settlements in the occupied Palestinian and Syrian territories, Telecommunications services","Shareholdings, Israeli Construction on Occupied Land, Palestinian Captive Market, Services to the Settlements, Occupations, Services and utilities supporting the maintenance and existence of settlements; Use of natural resources","Telecommunications, Communication, Telecommunications, Telecommunications","Technology & Hi-tech, Technology & Hi-tech"
Cellebrite Di,Israel,afsc.org-Divestment,"An Israeli digital intelligence firm that supplies law enforcement agencies with phone hacking and digital forensics technology, used for surveillance and evidence collection in border control and criminal investigations","Borders, Prisons",Technology,Technology & Hi-tech
Cemex,"Israel, Mexico","DBIO_Listed_Business, whoprofits.org","Mexican building materials company, CEMEX S.A.B. de C.V., also known as Cemex, is a Mexican multinational building materials company, operating in the production, dis","Loans, Underwriting, Bondholdings, Shareholdings, Israeli Construction on Occupied Land, Population Control, Services to the Settlements, Settlement Enterprise, The Wall and Checkpoints","Building Materials, Construction",Manufacturing & Industrial
Cet Mineral Technology Group,USA,whoprofits.org,"A US based public company that develops, produces and markets mineral-based and synthetic mineral products and related systems and","Exploitation of Occupied Production and Resources, Services to the Settlements, Specialized Equipment and Services","Electricity, Gas and Water Supply",Energy & Utilities
Chateau Golan Winery,Occupied Syrian Golan,whoprofits.org,"An Israeli boutique winery based in the occupied Syrian Golan.

The winery is located in the settlement of Moshav Eliad, in the ",Settlement Production,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Check Point Software Technologies,Israel (Global),boycott-israel.org,"A pioneer in cybersecurity, Check Point offers extensive security solutions and has a profound footprint in global cybersecurity landscapes, originating and headquartered in Israel.","Headquartered in Israel, offers extensive security solutions",Cybersecurity,Technology & Hi-tech
Cherriessa,"Occupied Palestinian Territory, Israel","whoprofits.org, UN_Report","The company sorts and exports vegetables to Russia and Europe. It grows mainly artichokes, chili peppers and cherry tomatoes.

T, Agricultural company","Settlement Production, Use of natural resources","Agriculture and Agrotechnology, Agriculture","Agriculture & Food, Agriculture & Food"
Chevron,USA,bdsmovement.net,"Chevron extracts gas in the East Mediterranean, supporting Israel's economy and military.","Energy, Military Support",Energy,Energy & Utilities
Chevron Rporation,United States,ethicalconsumer.org,An American multinational energy corporation.,"Extracts gas claimed by Israel in the Eastern Mediterranean, complicit in Israelís siege of Gaza.",Petrol & Diesel,Energy & Utilities
Chevron Rporation (Texa),United States,ethicalconsumer.org,An American multinational energy corporation.,"Involved in extracting gas claimed by Israel in the East Mediterranean, accused of exacerbating the climate crisis.",Petrol & Diesel,Energy & Utilities
Chevron-Owned Noble Energy,USA,bdsmovement.net,Chevron-owned Noble Energy extracts gas in the East Mediterranean.,"Energy, Military Support",Energy,Energy & Utilities
Chim Nir,Israel,whoprofits.org,"The company provides aviation and spraying services.

The company conducts herbicide spraying around the besieged Gaza. The spra",Specialized Equipment and Services,"Agriculture and Agrotechnology, Other",Agriculture & Food
Chish Nofei Israel,Israel,UN_Report,Real estate development,Use of natural resources,Real Estate,Construction & Real Estate
Cim Lustigman,Israel,whoprofits.org,"A private Israeli real estate and construction company.

The company is involved in several construction projects in settlement ",Israeli Construction on Occupied Land,"Construction, Real Estate",Manufacturing & Industrial
Cis,United States,boycott-israel.org,"The Company integrates platforms across networking, security, collaboration, applications and the cloud. Through its fully owned Israeli subsidiaries, Cisco Systems has a broad base of complicity with Israelís occupation economy, predominantly through the provision of services to the Israeli military.",Provision of services to the Israeli military,Technology and Computers,Technology & Hi-tech
Cis Systems,"Israel, USA","DBIO_Listed_Business, whoprofits.org","Network solution provider, A US-publicly traded tech giant, which designs and sells technologies that power the internet. The Company integrates platforms ac","Loans, Bondholdings, Shareholdings, Population Control, Private Security and Surveillance Technology, Services to the Settlements, Settlement Enterprise","Network Solutions, Communication, Hi-tech, Military, Security and Surveillance","Technology & Hi-tech, Technology & Hi-tech"
Citadis Israel,Israel,UN_Report,Railway construction,Services and utilities supporting the maintenance and existence of settlements; Use of natural resources,Construction,Manufacturing & Industrial
Citibank (Citigroup),United States,boycott-israel.org,Citibank has been alleged to have financial relationships with companies involved in military and security operations in occupied territories. Activists argue that these relationships indirectly support actions associated with the Israeli occupation.,Financial relationships with companies in occupied territories,Banking,Finance & Insurance
Citybook Services,"Israel, Occupied Palestinian Territory",whoprofits.org,"A provider of offshore outsourcing services for the US market: mainly real estate title searches, lease abstracts, but also some m",Settlement Production,Real Estate,Construction & Real Estate
Clal Insurance Enterprises Holdings Limited,"Israel, Israel","whoprofits.org, whoprofits.org","A large private Israeli investment company with holdings in heavy industry, biotechnology, hi-tech and energy companies.

Throug, A publicly-traded Israeli company active in the fields of insurance, pensions and finances.

Financing construction on occupied ","Israeli Construction on Occupied Land, Services to the Settlements, The Wall and Checkpoints, Israeli Construction on Occupied Land, Specialized Equipment and Services","Finance, Finance",Finance & Insurance
Cna -Cable Neige Amenagement - Maitrise D¬íOeuvre,France,whoprofits.org,"A French engineering and consulting company specializing in ski resorts and the construction of cable transport systems.

In Oct","Israeli Construction on Occupied Land, Services to the Settlements",Transportation,Transportation & Travel
Cnh Industrial,"Israel, Netherlands, UK","DBIO_Listed_Business, whoprofits.org","Multinational manufacturer of agricultural and construction equipment, A publicly traded multinational manufacturer of agricultural and construction equipment, trucks, commercial vehicles and buses.

","Loans, Underwriting, Bondholdings, Shareholdings, Israeli Construction on Occupied Land, Specialized Equipment and Services, The Wall and Checkpoints","Manufacturing, Heavy Machinery",Manufacturing & Industrial
Cnh Industrial Nv,Netherlands,afsc.org-Divestment,"A Dutch multinational corporation that designs, produces, and sells agricultural and construction machinery, trucks, commercial vehicles, buses, and powertrain solutions",Occupations,Manufacturing,Manufacturing & Industrial
"Ca-La Mpany, The",United States,ethicalconsumer.org,An American multinational corporation specializing in non-alcoholic beverages.,Profits from the Israeli occupation of Palestine by operating in Atarot illegal Israeli settlement.,Soft Drinks,Agriculture & Food
Ca-La Sub-Brand,United States,boycott-israel.org,"These are sub-brands under The Coca-Cola Company, an American multinational corporation specializing in non-alcoholic beverages.",Coca Cola-Sprite-Fanta-Powerade-Minute Maid-Dasani-FUZE tea,Food and Beverages,Agriculture & Food
Lmobil Rporation,Israel,whoprofits.org,"The Colmobil Group is the exclusive representative of&nbsp;four vehicle brands: Mercedes-Benz, Smart, Mitsubishi Motors and Hyunda",Specialized Equipment and Services,Service Industry and Retail,Construction & Real Estate
Lt'S Manufacturing Mpany,USA,afsc.org-profiting,"Colt's Manufacturing Company is an American firearms manufacturer, founded in 1855 by Samuel Colt.",Supplies firearms to Israeli military and police forces,Defense,Defense & Security
Mas,Israel,UN_Report,Construction equipment supply,"Supply of equipment and materials facilitating the construction and the expansion of settlements and the wall, and associated infrastructure",Construction,Manufacturing & Industrial
Mbined Systems (Csi),USA,whoprofits.org,"The company designs, manufactures and markets security products in use by police and military forces worldwide. CSI is one the lar",Specialized Equipment and Services,"Military, Security and Surveillance",Defense & Security
Mbined Systems,USA,afsc.org-Divestment,"An American company that manufactures a wide range of military and law enforcement equipment including tear gas, smoke grenades, and less-lethal munitions","Borders, Prisons",Defense,Defense & Security
Mmerzbank,Germany,DBIO_creditor_report,German global banking and financial services company,Loans and underwriting services,Financial Services,Finance & Insurance
Modan Far East,Israel,whoprofits.org,"A private Israeli importer and exporter of raw materials, products and services from China and the establishment of Joint Ventures","Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Mpost Or,"Israel, Occupied Palestinian Territory",whoprofits.org,"A private Israeli company specializing in the development, management and operation of waste recycling plants.

Compost Or opera","Exploitation of Occupied Production and Resources, Settlement Enterprise",Waste Management,Manufacturing & Industrial
Msa Rporaci√≥n,Spain,whoprofits.org,"A Spanish global group focused on&nbsp;infrastructure development, industrial engineering and services, also operating in the area","Israeli Construction on Occupied Land, Services to the Settlements","Construction, Industrial Manufacturing",Manufacturing & Industrial
Nstrucciones Y Auxiliar De Ferrocarriles,Spain,DBIO_Listed_Business,Spanish transit solutions company,Shareholdings,Transportation,Transportation & Travel
Ntact International (Kalia Israel Ammunition ),Occupied Palestinian Territory,whoprofits.org,"Supplier of new and used&nbsp;military equipment, including arms, ammunition, weapon spare parts, personal equipment,&nbsp;armored","Settlement Production, Specialized Equipment and Services","Military, Security and Surveillance",Defense & Security
Ntrop Precision Technologies,Israel,whoprofits.org,A privately owned Israeli company that specializes in the development and production of electro-optical and precision motion contr,"Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Rsight Ai,Israel,afsc.org-profiting,Corsight AI develops advanced facial recognition technology.,Provides surveillance technology to Israeli military and security forces,Technology,Technology & Hi-tech
Venant Group,Israel,whoprofits.org,"A &nbsp;holding group of companies specializing mainly in engineering and civil engineering.

Through its subsidiary Shachaf Has","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Services to the Settlements",Construction,Manufacturing & Industrial
Cr√£¬©Dit Agrile,"France, France","DBIO_creditor_report, DBIO_investor_report","French international banking group, French international banking group","Loans and underwriting services, Bondholding, Shareholding","Financial Services, Financial Services",Finance & Insurance
Cr√£¬©Dit Mutuel,"France, France","DBIO_creditor_report, DBIO_investor_report","French cooperative banking group, French cooperative banking group","Loans and underwriting services, Bondholding, Shareholding","Financial Services, Investment",Finance & Insurance
Crazy Labs,Israel (Global),boycott-israel.org,"Crazy Labs is a prominent Israeli mobile game publisher headquartered in Tel Aviv. Founded in 2010, the company specializes in hyper-casual games, rapidly developing and launching titles that capture current trends. Crazy Labs collaborates with local developers to maintain a position in the global gaming market.",Develops mobile games and applications,App & Game Studios,Technology & Hi-tech
Cti- Mputech International,"Israel, USA",whoprofits.org,The company is a supplier of advanced computer solutions for military and industrial purposes. The company&#39;s office in Israel ,Specialized Equipment and Services,"Military, Security and Surveillance",Defense & Security
Cyberark,Israel (Global),boycott-israel.org,"CyberArk specializes in privileged access management, a critical aspect of cybersecurity. Headquartered in Israel, CyberArk has a broad international reach with offices globally.",Privileged access management,Cybersecurity,Technology & Hi-tech
D Hay Marketing Of Agricultural Product,Israel,whoprofits.org,"The company markets agricultural produce.

The companyís boxes were found in the Naíaran and Tomer settlementsí packing houses.",Settlement Production,Agriculture and Agrotechnology,Agriculture & Food
Dn Kol Gader,"Israel, Occupied Palestinian Territory",whoprofits.org,"A private Israeli company specializing in security fences for airports and seaports, defense industries, power stations, nuclear p","Services to the Settlements, The Wall and Checkpoints","Construction, Military, Security and Surveillance",Manufacturing & Industrial
Dalia Eliaspor Building Ntracting  1972,Israel,whoprofits.org,"A private Israeli construction company.

The company was involved in construction projects in the following settlements in occup",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Dan Pri Export And International Trade,Israel,whoprofits.org,"A private Israeli exporter of agricultural produce to Russia.

The company&rsquo;s boxes were spotted in Tomer and Na&rsquo;aran","Services to the Settlements, Settlement Production",Agriculture and Agrotechnology,Agriculture & Food
Dan Public Transportation Mpany,Israel,whoprofits.org,A private Israeli transportation company that operates public bus services. The company is also active in the real estate sector a,"Israeli Construction on Occupied Land, Services to the Settlements",Transportation,Transportation & Travel
Danske Bank,"Denmark, Denmark, Denmark","boycott-israel.org, boycott-israel.org, DBIO_creditor_report","Since 2018 Danske Bank has made loans and guarantees worth almost DKK 16 billion available to companies with settlement connections. Loan includes to the German HeidelbergCement. HeidelbergCement has been criticized for years for extracting natural resources from occupied Palestinian land in violation of international law and for supplying cement for the expansion of surrounding illegal Israeli settlements., Since 2018 Danske Bank has made loans and guarantees worth almost DKK 16 billion available to companies with settlement connections. Loan includes to the German HeidelbergCement. HeidelbergCement has been criticized for years for extracting natural resources from occupied Palestinian land in violation of international law and for supplying cement for the expansion of surrounding illegal Israeli settlements., Danish multinational banking and financial services corporation","Loans and guarantees to companies with settlement connections, Loans and guarantees to companies with settlement connections, Loans and underwriting services","Banking, Banking, Financial Services",Finance & Insurance
Danya Cebus,Israel,whoprofits.org,Public Israeli company Danya Cebus is one of the largest construction and infrastructure companies in Israel. The company speciali,"Israeli Construction on Occupied Land, Services to the Settlements, Specialized Equipment and Services, The Wall and Checkpoints",Construction,Manufacturing & Industrial
Darban Investments,Israel,UN_Report,Real estate investments,Use of natural resources,Real Estate,Construction & Real Estate
David Ackerstein,Israel,whoprofits.org,"A provider of management, planning and supervisory services in civil engineering, transportation, construction and infrastructure ","Israeli Construction on Occupied Land, Services to the Settlements","Construction, Transportation",Manufacturing & Industrial
Day & Zimmermann,USA,afsc.org-profiting,"Day & Zimmermann is an American company that provides construction, engineering, staffing, and defense solutions.",Supplies ammunition to Israeli military,Defense,Defense & Security
Defensoft,Israel,whoprofits.org,"A homeland security company that develops software solutions for security systems. DefenSoft&#39;s primary product, the Lighthouse","Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Deka Group,Germany,DBIO_investor_report,German financial services group,"Bondholding, Shareholding",Financial Services,Finance & Insurance
Dekel Acher Nstruction And Investments,"Israel, Occupied Syrian Golan",whoprofits.org,"A private company that specializes in housing projects, commercial projects and tourism.

The company is involved in several con","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Settlement Production","Construction, Renewable Energy, Tourism",Manufacturing & Industrial
Delek Group,"Spain, Israel","DBIO_Listed_Business, UN_Report","Israeli fuel sector company, Energy and oil services","Loans, Underwriting, Bondholdings, Shareholdings, Services and utilities supporting the maintenance and existence of settlements; Use of natural resources","Fuel, Energy","Energy & Utilities, Energy & Utilities"
Delek Israel Fuel Mpany,Israel,whoprofits.org,"A private Israeli Company founded in 1951, active in the field of gas and fuel. The company operates fuel and service stations and",Services to the Settlements,"Electricity, Gas and Water Supply, Service Industry and Retail",Energy & Utilities
Dell,"United States, USA","boycott-israel.org, whoprofits.org","Dell's products include personal computers and servers. In 2023, Dell Technologies won the Israeli Ministry of Defense's server tender, which is considered the largest server tender in Israel so far. The scope is USD 150 million for a period of two years, during which Dell will provide servers and maintenance to the Israeli military and the Israeli Ministry of Defense (IMOD). The Michael & Susan Dell Foundation, established by Dell's founders, is known to provide direct support to Israel., Dell Technologies Inc. is an American multinational technology company. Dell&#39;s products include personal computers, servers, s","Won server tender for Israeli Ministry of Defense, support to Israel, Population Control, Specialized Equipment and Services","Technology and Computers, Hi-tech",Technology & Hi-tech
Dell Sub-Brand,United States,boycott-israel.org,"A philanthropic organization established by Dell's founders, providing support to Israel.",Michael & Susan Dell Foundation,Others,Other
Delta Galil Industries,"Israel, Israel, Israel","DBIO_Listed_Business, whoprofits.org, UN_Report","Israeli apparel company, A publicly traded Israeli corporation that manufactures and markets clothes globally.

Through its partially-owned subsidiary (8, Textile and apparel","Shareholdings, Services to the Settlements, Settlement Production, Use of natural resources","Apparel, Industrial Manufacturing, Service Industry and Retail, Textile","Consumer Goods & Retail, Consumer Goods & Retail"
Delta Israel,Israel,UN_Report,Textile manufacturing,Use of natural resources,Textile,Consumer Goods & Retail
Deshen Hatzafon ¬ñ Production And Marketing Of Fertilizer,Israel,whoprofits.org,"An Israeli agricultural cooperative that manufactures and markets fertilizers.

One of the seven cooperatives that own Deshen Ha",Services to the Settlements,Agriculture and Agrotechnology,Agriculture & Food
Deutsche Bank,"Germany, Germany","DBIO_creditor_report, DBIO_investor_report","German multinational investment bank and financial services company, German multinational investment bank and financial services company","Loans and underwriting services, Bondholding, Shareholding","Financial Services, Financial Services",Finance & Insurance
Dexcel Pharma Technologies,Israel,whoprofits.org,"An international research-based pharmaceutical company, specializing in products for the treatment of&nbsp;gastroenterological, ca",Palestinian Captive Market,Pharmaceutical,Services & Miscellaneous
Disunt Bank,Israel,whoprofits.org,"An Israeli commercial bank.

Israeli construction on occupied land:&nbsp;

In 2021, Discount Bank granted the company Shitrit ","Israeli Construction on Occupied Land, Services to the Settlements",Finance,Finance & Insurance
Disney,"USA, United States","bdsmovement.net, boycott-israel.org","Disney-owned Marvel Studios is promoting a ‚Äúsuperhero‚Äù that personifies apartheid Israel., Following the attacks in Israel, The Walt Disney Company is donating $2 million to organizations that are providing humanitarian relief to Israel.","Entertainment, Propaganda, Donated $2 million to organizations providing humanitarian relief","Entertainment, Others",Consumer Goods & Retail
Dji,China,afsc.org-profiting,DJI is a Chinese technology company that manufactures unmanned aerial vehicles (drones).,Provides drones used by Israeli military for surveillance and attacks,Technology,Technology & Hi-tech
Dji - Dajiang Innovation Technology Mpany,China,whoprofits.org,"DJI is a private Chinese company and the world&rsquo;s top UAV seller, controlling two thirds of the global market. The company sp",Specialized Equipment and Services,"Military, Security and Surveillance",Defense & Security
Dnb,Norway,DBIO_creditor_report,Norwegian financial services group,Loans and underwriting services,Financial Services,Finance & Insurance
Doma Marketing For Building & Training,Occupied Palestinian Territory,whoprofits.org,"A manufacturer, importer and distributor of construction products.

Doma&rsquo;s facilities are located in Ariel settlement indu","Israeli Construction on Occupied Land, Services to the Settlements, Settlement Enterprise",Construction,Manufacturing & Industrial
Dona Engineering And Nstruction,Israel,whoprofits.org,A private Israeli construction and development company that initiates and carries out housing projects in settlements in the occup,Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Dor Alon Energy In Israel 1988,"Israel, Israel","UN_Report, whoprofits.org","Energy and oil services, A public Israeli gas and petroleum company. The company is engaged in the development, establishment and operation of gas stations","Services and utilities supporting the maintenance and existence of settlements; Use of natural resources, Palestinian Captive Market, Services to the Settlements, Settlement Enterprise","Energy, Electricity, Gas and Water Supply, Service Industry and Retail",Energy & Utilities
Dz Bank,"Germany, Germany","DBIO_creditor_report, DBIO_investor_report","German banking group, German cooperative bank","Loans and underwriting services, Bondholding, Shareholding","Financial Services, Financial Services",Finance & Insurance
Epr Systems,"Occupied Palestinian Territory, Israel","whoprofits.org, UN_Report","A developer of information and financial systems.

The company is located in the settlement of Eli in the occupied West Bank.

, Systems and infrastructure solutions","Services to the Settlements, Settlement Production, Services and utilities supporting the maintenance and existence of settlements; Use of natural resources","Hi-tech, Industrial Manufacturing, Systems and Infrastructure","Technology & Hi-tech, Technology & Hi-tech"
Et Legal Services,Israel,whoprofits.org,"A private Israeli company which carries out writs of execution, including evictions, seizures and demolitions.

The company exec",Specialized Equipment and Services,Construction,Manufacturing & Industrial
Eastern Lines,Occupied Palestinian Territory,whoprofits.org,"A logistics company specializing in the transporting of fruits and vegetables.

The company is located in the settlement of Tome","Services to the Settlements, Settlement Production",Transportation,Transportation & Travel
Eastlink Lanker,UK,whoprofits.org,"A public UK-based international investment company engaged in the import and export of metal and industrial equipment.

The comp","Services to the Settlements, Settlement Enterprise",Other,Services & Miscellaneous
Ebay,United States,boycott-israel.org,"eBay, an American multinational e-commerce corporation, has a presence in Israel primarily through acquisition of local companies and establishment of development centers.",Presence in Israel through acquisitions and development centers,Online Services and Platforms,Technology & Hi-tech
Edom Uk,Israel,whoprofits.org,"An Israeli exporter of agricultural goods. EDOM supplies to several major British supermarkets, including Waitrose and Sainsbury&#",Settlement Production,Agriculture and Agrotechnology,Agriculture & Food
Edreams Odigeo,"Spain, Spain","DBIO_Listed_Business, whoprofits.org","Spanish online travel company, Based in Spain, the company operates an online travel agency for lodging reservations and other travel products. The company inclu","Loans, Bondholdings, Shareholdings, Palestinian Captive Market, Services to the Settlements, Settlement Production","Travel, Tourism",Other
Edreams Odigeo Sa,Luxembourg,UN_Report,Online travel company,Services and utilities supporting the maintenance and existence of settlements,Travel,Other
Ef Equipment,Israel,whoprofits.org,"A private Israeli company specializing in marketing, sales and service for mechanical equipment for infrastructure and constructio","Israeli Construction on Occupied Land, Specialized Equipment and Services",Construction,Manufacturing & Industrial
Effisolar Enterprises,Canada,whoprofits.org,"A private Canadian renewable power project developer founded in 2008, with projects in Ontario, New Jersey, Saipan and Israel.

","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Services to the Settlements",Renewable Energy,Energy & Utilities
Efgad Engineering And Nstruction Works,Israel,whoprofits.org,A development and construction firm. The company constructed housing projects in the settlement of Ariel&nbsp;in the occupied West,Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Egged Israel Transport Operative Society,Israel,whoprofits.org,"A public transportation operator. Until 2017, the parent company operated bus lines to Israeli settlements in the occupied West ba",Services to the Settlements,"Tourism, Transportation",Transportation & Travel
"Egged, Israel Transportation Operative Society",Israel,UN_Report,Public transportation cooperative,Services and utilities supporting the maintenance and existence of settlements,Transportation,Transportation & Travel
Egis Rail,"France, France","UN_Report, whoprofits.org","Railway construction, A France-based global group offering engineering and project management services in the sectors of transport, industry, water, env","Services and utilities supporting the maintenance and existence of settlements, Israeli Construction on Occupied Land, Services to the Settlements","Construction, Transportation",Manufacturing & Industrial
Egis Sa,France,UN_Report,Engineering and consulting,Services and utilities supporting the maintenance and existence of settlements,Engineering,Manufacturing & Industrial
Einav Ahets,Israel,whoprofits.org,A private Israeli development and roads construction company. The company executes and has completed multiple infrastructure proje,Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
El Go Team,Israel,whoprofits.org,"A developer and manufacturer of security gates and access control systems for secured compounds.

Vehicle gates and turnstiles o","Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Elbit Systems,"Israel, Israel, Spain, Israel, USA, Israel","afsc.org-profiting, bdsmovement.net, DBIO_Listed_Business, whoprofits.org, afsc.org-Divestment","Elbit Systems is an international defense electronics company., Elbit Systems builds and tests weapons used in Gaza., Israeli company operating in a large number of sectors, An Israel-based international military technology company.

Elbit Systems develops and supplies, among others, military aircraft, An Israeli defense electronics company that develops, manufactures, and integrates advanced, high-performance defense systems for air, land, sea, and space applications","Provides surveillance and intelligence systems to Israeli forces, Defense, Military Support, Loans, Bondholdings, Shareholdings, Population Control, Services to the Settlements, Specialized Equipment and Services, The Wall and Checkpoints, Occupations","Defense, Defense, Defense and Technology, Military, Security and Surveillance, Defense","Defense & Security, Defense & Security"
Eldad Spivak Engineering,Israel,whoprofits.org,"An engineering company which manages a wide range of projects such as: interurban roads, road / rail separation, sewage purificati","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land",Construction,Manufacturing & Industrial
